Scenario,Number of individuals,Makespan
\textsc{PegDecaf},16,1730.641651391983
\textsc{PegDecaf},16,1737.9853963851929
\textsc{PegDecaf},16,1786.3516809940338
\textsc{PegDecaf},16,1777.6002898216248
\textsc{PegDecaf},16,1795.1703252792358
\textsc{PegDecaf},1,1550.7250397205353
\textsc{PegDecaf},1,1551.5246586799622
\textsc{PegDecaf},1,1563.9575798511505
\textsc{PegDecaf},1,1541.7865164279938
\textsc{PegDecaf},1,1527.9332084655762
\textsc{PegDecaf},2,1602.8882126808167
\textsc{PegDecaf},2,1595.0451712608337
\textsc{PegDecaf},2,1590.75532746315
\textsc{PegDecaf},2,1592.1848623752594
\textsc{PegDecaf},2,1611.8487272262573
\textsc{PegDecaf},32,1872.8082418441772
\textsc{PegDecaf},32,1964.0268540382385
\textsc{PegDecaf},32,1934.9885568618774
\textsc{PegDecaf},32,1954.8176221847534
\textsc{PegDecaf},32,1976.3350610733032
\textsc{PegDecaf},4,1614.874089717865
\textsc{PegDecaf},4,1619.4430892467499
\textsc{PegDecaf},4,1623.7294561862946
\textsc{PegDecaf},4,1631.9951717853546
\textsc{PegDecaf},4,1622.515826702118
\textsc{PegDecaf},8,1667.2224745750427
\textsc{PegDecaf},8,1675.4089677333832
\textsc{PegDecaf},8,1668.2449679374695
\textsc{PegDecaf},8,1686.549972295761
\textsc{PegDecaf},8,1690.2101473808289
\textsc{Vanilla},16,2980.353
\textsc{Vanilla},16,2835.113
\textsc{Vanilla},16,3043.048
\textsc{Vanilla},16,2859.216
\textsc{Vanilla},16,3381.711
\textsc{Vanilla},1,2315.737
\textsc{Vanilla},1,2240.998
\textsc{Vanilla},1,2236.863
\textsc{Vanilla},1,2232.238
\textsc{Vanilla},1,2215.272
\textsc{Vanilla},2,2483.245
\textsc{Vanilla},2,2367.716
\textsc{Vanilla},2,2353.416
\textsc{Vanilla},2,2365.801
\textsc{Vanilla},2,2360.576
\textsc{Vanilla},32,3423.009
\textsc{Vanilla},32,3190.448
\textsc{Vanilla},32,3419.038
\textsc{Vanilla},32,3455.368
\textsc{Vanilla},32,3772.969
\textsc{Vanilla},4,2519.148
\textsc{Vanilla},4,2435.778
\textsc{Vanilla},4,2405.608
\textsc{Vanilla},4,2692.416
\textsc{Vanilla},4,2690.516
\textsc{Vanilla},8,2714.172
\textsc{Vanilla},8,2792.805
\textsc{Vanilla},8,2939.388
\textsc{Vanilla},8,2610.333
\textsc{Vanilla},8,2980.545
\textsc{PMC},16,2645.040512
\textsc{PMC},16,2693.891025
\textsc{PMC},16,3051.289278
\textsc{PMC},16,3134.997536
\textsc{PMC},16,3660.000179
\textsc{PMC},1,2264.340917
\textsc{PMC},1,2268.347780
\textsc{PMC},1,2342.891285
\textsc{PMC},1,2192.369974
\textsc{PMC},1,2228.332032
\textsc{PMC},2,2372.204140
\textsc{PMC},2,2309.526198
\textsc{PMC},2,2491.079627
\textsc{PMC},2,2344.089065
\textsc{PMC},2,2405.487571
\textsc{PMC},32,3244.791210
\textsc{PMC},32,3528.145955
\textsc{PMC},32,3450.122401
\textsc{PMC},32,3660.000133
\textsc{PMC},32,3660.000185
\textsc{PMC},4,2415.891781
\textsc{PMC},4,2702.822312
\textsc{PMC},4,2580.615688
\textsc{PMC},4,2373.715986
\textsc{PMC},4,2465.858905
\textsc{PMC},8,2515.373190
\textsc{PMC},8,2683.692761
\textsc{PMC},8,2721.499920
\textsc{PMC},8,2767.117215
\textsc{PMC},8,3123.267835
